			GMRT Grid Version 3.7
Longitude	Latitude	Distance (km)	Elevation (m)
-137.02374	-47.073486	1480.4767	-4664.9946
-137.15366	-47.02512	1491.6924	-5018.5854
-137.28333	-46.976612	1502.9081	-5282.3555
-137.41277	-46.927956	1514.1238	-5466.659
-137.54196	-46.87915	1525.3395	-5405.8657
-137.67093	-46.830204	1536.5552	-5655.4185
-137.79965	-46.781113	1547.7709	-5620.071
-137.92815	-46.731876	1558.9866	-4386.2495
-138.05641	-46.682495	1570.2023	-4723.349
-138.18443	-46.632973	1581.418	-4958.7236
-138.31223	-46.583305	1592.6337	-5169.961
-138.43979	-46.5335	1603.8494	-5186.2554
-138.56711	-46.48355	1615.0651	-5153.879
-138.6942	-46.43346	1626.2808	-5007.7236
-138.82106	-46.38323	1637.4965	-5110.343
-138.94768	-46.33286	1648.7122	-5072.546
-139.07407	-46.28235	1659.9279	-5133.229
-139.20023	-46.2317	1671.1436	-5167.724
-139.32614	-46.180912	1682.3593	-5210.2485
-139.45183	-46.129986	1693.575	-5346.9233
-139.57729	-46.078922	1704.7906	-5531.3926
-139.70251	-46.027725	1716.0063	-4953.6357
-139.82751	-45.976387	1727.222	-5074.127
-139.95227	-45.924915	1738.4377	-5380.76
-140.0768	-45.873306	1749.6534	-5303.2114
-140.2011	-45.821564	1760.8691	-5311.735
-140.32516	-45.769688	1772.0848	-5284.0527
-140.449	-45.717674	1783.3005	-5164.0654
-140.5726	-45.665527	1794.5162	-5287.7207
-140.69598	-45.61325	1805.7319	-5114.899
-140.81912	-45.56084	1816.9476	-5131.009
-140.94205	-45.508297	1828.1633	-5174.64
-141.06473	-45.455624	1839.379	-5249.456
-141.18718	-45.402817	1850.5947	-4974.1885
-141.30942	-45.34988	1861.8104	-5153.355
-141.43141	-45.296814	1873.0261	-5251.038
-141.55318	-45.243618	1884.2418	-5033.0254
-141.67473	-45.190292	1895.4575	-5076.3994
-141.79604	-45.13684	1906.6732	-5117.0156
-141.91713	-45.08326	1917.8889	-5063.9805
-142.03798	-45.02955	1929.1046	-5055.6567
-142.15862	-44.97571	1940.3203	-4896.79
-142.27902	-44.92175	1951.536	-5206.5605
-142.3992	-44.86766	1962.7517	-5162.852
-142.51915	-44.813442	1973.9674	-5016.122
-142.63889	-44.7591	1985.1831	-5208.197
-142.75839	-44.704636	1996.3988	-5273.3745
-142.87767	-44.650047	2007.6145	-5340.133
-142.99672	-44.595333	2018.8302	-5293.7876
-143.11555	-44.540493	2030.0459	-5341.324
-143.23416	-44.485535	2041.2616	-5425.4863
-143.35254	-44.43045	2052.4773	-5326.4937
-143.4707	-44.375244	2063.693	-5344.2485
-143.58864	-44.31992	2074.909	-5440.449
-143.70634	-44.26447	2086.1248	-5437.3955
-143.82384	-44.208904	2097.3406	-5254.8696
-143.94112	-44.153214	2108.5564	-5120.3545
-144.05815	-44.097404	2119.7722	-5303.7197
-144.17499	-44.041477	2130.988	-5274.982
-144.2916	-43.98543	2142.2039	-5282.33
-144.40797	-43.929268	2153.4197	-5378.87
-144.52414	-43.872982	2164.6355	-5400.04
-144.64009	-43.81658	2175.8513	-5315.45
-144.75583	-43.760067	2187.0671	-5398.2495
-144.87134	-43.703434	2198.283	-5213.976
-144.98662	-43.646683	2209.4988	-4785.7935
-145.1017	-43.589817	2220.7146	-4408.838
-145.21655	-43.532837	2231.9304	-5227.8604
-145.33119	-43.475742	2243.1462	-5378.548
-145.44562	-43.41853	2254.362	-5312.722
-145.55981	-43.361206	2265.578	-5342.0874
-145.67381	-43.303772	2276.7937	-5434.344
-145.78758	-43.24622	2288.0095	-5246.797
-145.90115	-43.188557	2299.2253	-5609.1196
-146.0145	-43.130783	2310.4412	-5640.127
-146.12762	-43.0729	2321.657	-5515.7773
-146.24054	-43.0149	2332.8728	-5534.719
-146.35324	-42.95679	2344.0886	-5510.5137
-146.46574	-42.89857	2355.3044	-5267.753
-146.57802	-42.840244	2366.5203	-5239.3696
-146.69008	-42.781807	2377.736	-5213.1377
-146.80194	-42.72326	2388.952	-5544.5244
-146.91359	-42.664604	2400.1677	-5544.918
-147.02502	-42.60584	2411.3835	-5387.4243
-147.13625	-42.546967	2422.5994	-5447.462
-147.24725	-42.487988	2433.8152	-5392.317
-147.35806	-42.4289	2445.031	-5516.695
-147.46866	-42.36971	2456.2468	-5563.3667
-147.57904	-42.31041	2467.4626	-5350.4995
-147.68922	-42.251007	2478.6785	-5091.546
-147.7992	-42.191498	2489.8943	-4914.2056
-147.90895	-42.13188	2501.11	-5135.5337
-148.01851	-42.072163	2512.326	-5606.191
-148.12787	-42.01234	2523.5417	-5339.4565
-148.23701	-41.952415	2534.7576	-5325.8623
-148.34595	-41.892384	2545.9734	-5498.8545
-148.4547	-41.832253	2557.1892	-5444.351
-148.56322	-41.77202	2568.405	-5063.41
-148.67155	-41.71168	2579.6208	-5087.435
-148.77968	-41.65124	2590.8367	-5127.2666
-148.8876	-41.590702	2602.0525	-4983.9
-148.99532	-41.530064	2613.2683	-4973.516
-149.10283	-41.469322	2624.4841	-4887.529
-149.21014	-41.40848	2635.7	-4954.403
-149.31726	-41.34754	2646.9158	-5253.5083
-149.42418	-41.286503	2658.1316	-5381.2017
-149.5309	-41.225365	2669.3474	-5203.028
-149.6374	-41.164127	2680.5632	-5266.219
-149.74373	-41.102795	2691.779	-5483.3633
-149.84984	-41.041363	2702.9949	-5397.0195
-149.95576	-40.979836	2714.2107	-5238.479
-150.0615	-40.91821	2725.4265	-5278.594
-150.167	-40.856487	2736.6423	-5156.656
-150.27234	-40.79467	2747.8582	-5370.003
-150.37747	-40.732758	2759.074	-5225.2354
-150.4824	-40.670746	2770.2898	-5176.7935
-150.58714	-40.608643	2781.5056	-5114.431
-150.6917	-40.546448	2792.7214	-5126.237
-150.79605	-40.484154	2803.9373	-5068.925
-150.9002	-40.42177	2815.153	-4851.124
-151.00417	-40.35929	2826.369	-4891.7603
-151.10794	-40.29672	2837.5847	-4941.833
-151.21153	-40.234055	2848.8005	-5083.2314
-151.31491	-40.171295	2860.0164	-5133.8022
-151.4181	-40.108448	2871.2322	-4960.2417
-151.52112	-40.04551	2882.448	-4988.401
-151.62393	-39.98248	2893.6638	-5090.9756
-151.72656	-39.919357	2904.8796	-4974.558
-151.82901	-39.856144	2916.0955	-5015.9404
-151.93126	-39.792843	2927.3113	-5112.1636
-152.03331	-39.72945	2938.527	-5039.3843
-152.1352	-39.66597	2949.743	-4945.1787
-152.23688	-39.6024	2960.9587	-5001.7637
-152.33838	-39.538746	2972.1746	-5035.012
-152.4397	-39.475	2983.3904	-5053.586
-152.54082	-39.411163	2994.6062	-4996.4966
-152.64177	-39.347244	3005.822	-5059.3765
-152.74252	-39.283234	3017.0378	-5009.9795
-152.8431	-39.21914	3028.2537	-5018.4443
-152.94348	-39.15496	3039.4695	-5063.763
-153.0437	-39.09069	3050.6853	-4958.277
-153.14372	-39.02634	3061.9011	-4869.2256
-153.24356	-38.961903	3073.117	-4993.5913
-153.34323	-38.89738	3084.3328	-4996.346
-153.4427	-38.83277	3095.5486	-4989.3066
-153.542	-38.76808	3106.7644	-5077.735
-153.64113	-38.703304	3117.9802	-5160.452
-153.74007	-38.638447	3129.196	-5094.8438
-153.83882	-38.5735	3140.4119	-5181.6406
-153.93741	-38.508476	3151.6277	-5159.3535
-154.03581	-38.44337	3162.8435	-5162.5
-154.13405	-38.37818	3174.0593	-5126.819
-154.23209	-38.31291	3185.2751	-5133.3677
-154.32997	-38.247555	3196.491	-5167.729
-154.42766	-38.18212	3207.7068	-5099.288
-154.52519	-38.116608	3218.9226	-5113.649
-154.62253	-38.05101	3230.1384	-5240.3916
-154.71971	-37.985336	3241.3542	-5198.1006
-154.81671	-37.919582	3252.57	-5230.736
-154.91353	-37.853745	3263.786	-5274.675
-155.0102	-37.787834	3275.0017	-5329.855
-155.10667	-37.72184	3286.2175	-5390.1074
-155.20297	-37.65577	3297.4333	-5308.9824
-155.29912	-37.58962	3308.6492	-5321.2793
-155.39508	-37.52339	3319.865	-5239.6997
-155.49088	-37.45709	3331.0808	-5252.5967
-155.5865	-37.390705	3342.2966	-5409.5938
-155.68196	-37.324245	3353.5125	-5286.1323
-155.77725	-37.25771	3364.7283	-5324.0884
-155.87238	-37.1911	3375.944	-5399.192
-155.96732	-37.124413	3387.16	-5296.329
-156.0621	-37.057648	3398.3757	-5592.5137
-156.15672	-36.99081	3409.5916	-5566.71
-156.25117	-36.923897	3420.8074	-5471.1855
-156.34546	-36.85691	3432.0232	-5497.305
-156.43959	-36.78985	3443.239	-5488.869
-156.53354	-36.72271	3454.4548	-5436.8833
-156.62733	-36.655502	3465.6707	-5627.484
-156.72096	-36.58822	3476.8865	-5553.362
-156.81442	-36.520863	3488.1023	-5466.612
-156.90773	-36.45343	3499.318	-5371.3467
-157.00087	-36.38593	3510.534	-5419.0815
-157.09384	-36.318356	3521.7498	-5209.3105
-157.18666	-36.25071	3532.9656	-5251.3477
-157.27933	-36.18299	3544.1814	-5288.7593
-157.37183	-36.115204	3555.3972	-5212.8086
-157.46416	-36.047344	3566.613	-5145.259
-157.55634	-35.979412	3577.8289	-5191.9326
-157.64836	-35.91141	3589.0447	-5070.437
-157.74022	-35.84334	3600.2605	-5319.3613
-157.83192	-35.7752	3611.4763	-5235.4785
-157.92346	-35.70699	3622.6921	-5353.3105
-158.01486	-35.63871	3633.908	-5430.8784
-158.1061	-35.570362	3645.1238	-5437.8457
-158.19717	-35.501945	3656.3396	-5503.4272
-158.28809	-35.43346	3667.5554	-5443.3833
-158.37886	-35.364906	3678.7712	-5351.4634
-158.46948	-35.296288	3689.987	-5411.578
-158.55994	-35.2276	3701.203	-5232.1772
-158.65024	-35.158844	3712.4187	-4983.5933
-158.7404	-35.09002	3723.6345	-5120.7295
-158.8304	-35.02113	3734.8503	-5085.695
-158.92026	-34.952175	3746.0662	-5393.78
-159.00995	-34.883156	3757.282	-5384.07
-159.0995	-34.814068	3768.4978	-5449.6836
-159.1889	-34.744915	3779.7136	-5389.5117
-159.27815	-34.675697	3790.9294	-5254.809
-159.36725	-34.606415	3802.1453	-5259.004
-159.4562	-34.537067	3813.361	-5289.162
-159.54501	-34.467655	3824.577	-5366.4175
-159.63367	-34.39818	3835.7927	-5284.144
-159.72218	-34.328636	3847.0085	-5258.4126
-159.81055	-34.259033	3858.2244	-5218.2056
-159.89876	-34.189365	3869.4402	-5273.0586
-159.98683	-34.119637	3880.656	-5132.0054
-160.07475	-34.049843	3891.8718	-5339.4
-160.16254	-33.97999	3903.0876	-5313.2627
-160.25017	-33.910072	3914.3035	-5336.6123
-160.33766	-33.84009	3925.5193	-4961.0703
-160.42502	-33.77005	3936.735	-5022.7905
-160.51222	-33.69995	3947.951	-5253.6714
-160.59929	-33.629787	3959.1667	-5276.4956
-160.6862	-33.559563	3970.3826	-5136.3193
-160.773	-33.489277	3981.5984	-5129.304
-160.85963	-33.41893	3992.8142	-5197.3716
-160.94614	-33.348526	4004.03	-5364.0283
-161.03249	-33.27806	4015.2458	-5334.411
-161.11871	-33.207535	4026.4617	-5092.7437
-161.20479	-33.136948	4037.6775	-5121.783
-161.29074	-33.066307	4048.8933	-5123.8516
-161.37654	-32.9956	4060.1091	-5368.139
-161.46222	-32.924843	4071.325	-5324.5874
-161.54774	-32.854023	4082.5408	-5116.875
-161.63313	-32.783146	4093.7566	-4755.9746
-161.7184	-32.71221	4104.972	-5219.1636
-161.80353	-32.641216	4116.188	-5544.455
-161.8885	-32.570168	4127.404	-5242.017
-161.97336	-32.499058	4138.6196	-5412.9106
-162.05809	-32.427895	4149.8354	-5320.6387
-162.14267	-32.356674	4161.0513	-5192.4077
-162.22713	-32.285397	4172.267	-5188.8613
-162.31145	-32.21406	4183.483	-5129.8574
-162.39563	-32.142673	4194.6987	-5277.607
-162.47969	-32.071228	4205.9146	-5218.917
-162.56361	-31.99973	4217.1304	-5324.203
-162.6474	-31.928173	4228.346	-5673.4004
-162.73106	-31.856564	4239.562	-5785.966
-162.8146	-31.784899	4250.778	-5313.3516
-162.89801	-31.713179	4261.9937	-4891.1797
-162.98128	-31.641405	4273.2095	-4531.676
-163.06444	-31.569576	4284.4253	-5056.34
-163.14745	-31.497696	4295.641	-5720.7026
-163.23035	-31.42576	4306.857	-5400.6416
-163.31311	-31.353773	4318.0728	-4910.7
-163.39574	-31.28173	4329.2886	-4973.303
-163.47826	-31.209637	4340.5044	-5018.3486
-163.56064	-31.137491	4351.72	-4959.625
-163.6429	-31.065292	4362.936	-4997.0713
-163.72504	-30.99304	4374.152	-5091.8965
-163.80705	-30.920738	4385.3677	-4965.977
-163.88893	-30.848383	4396.5835	-5046.9507
-163.9707	-30.775976	4407.7993	-4978.0522
-164.05234	-30.70352	4419.015	-5189.5933
-164.13385	-30.631012	4430.231	-5227.568
-164.21526	-30.558453	4441.447	-5404.538
-164.29652	-30.485842	4452.6626	-5407.2837
-164.37769	-30.413183	4463.8784	-5330.4004
-164.45871	-30.340473	4475.094	-5362.9688
-164.53963	-30.267712	4486.31	-5264.1235
-164.62042	-30.194902	4497.526	-5346.266
-164.70108	-30.122044	4508.7417	-5395.594
-164.78165	-30.049135	4519.9575	-5298.104
-164.86208	-29.976177	4531.1733	-5263.654
