			GMRT Grid Version 4.2.1
Longitude	Latitude	Distance (km)	Elevation (m)
-27.31	23.26	1789.5405	-5494.5645
-27.20	23.24	1801.4708	-5504.974
-27.08	23.21	1813.4011	-5504.7124
-26.97	23.19	1825.3314	-5490.7847
-26.86	23.17	1837.2617	-5454.552
-26.74	23.14	1849.192	-5352.4565
-26.63	23.12	1861.1223	-5415.741
-26.52	23.09	1873.0526	-5397.2036
-26.40	23.07	1884.9829	-5374.2065
-26.29	23.04	1896.9132	-5352.5444
-26.18	23.02	1908.8435	-5363.123
-26.06	22.99	1920.7738	-5339.717
-25.95	22.97	1932.7041	-5311.1646
-25.84	22.94	1944.6344	-5262.648
-25.72	22.92	1956.5647	-5232.41
-25.61	22.89	1968.495	-5309.6914
-25.50	22.86	1980.4253	-5256.134
-25.38	22.84	1992.3556	-5249.041
-25.27	22.81	2004.2859	-5229.1025
-25.16	22.79	2016.2162	-5222.739
-25.04	22.76	2028.1465	-5204.1855
-24.93	22.74	2040.0768	-5195.6597
-24.82	22.71	2052.007	-5181.9575
-24.71	22.68	2063.9373	-5170.226
-24.59	22.66	2075.8674	-5158.9756
-24.48	22.63	2087.7976	-5134.447
-24.37	22.60	2099.7278	-5090.6567
-24.25	22.58	2111.658	-5075.1494
-24.14	22.55	2123.5881	-5065.9067
-24.03	22.53	2135.5183	-5054.3745
-23.92	22.50	2147.4485	-5010.618
-23.80	22.47	2159.3787	-4968.6055
-23.69	22.44	2171.3088	-4970.6313
-23.58	22.42	2183.239	-4948.2964
-23.47	22.39	2195.1692	-4928.068
-23.35	22.36	2207.0994	-4917.828
-23.24	22.34	2219.0295	-4912.803
-23.13	22.31	2230.9597	-4870.7705
-23.02	22.28	2242.89	-4821.306
-22.91	22.26	2254.82	-4807.2065
-22.79	22.23	2266.7502	-4786.2256
-22.68	22.20	2278.6804	-4745.836
-22.57	22.17	2290.6106	-4728.698
-22.46	22.14	2302.5408	-4688.5938
-22.35	22.12	2314.471	-4664.9844
-22.23	22.09	2326.4011	-4630.134
-22.12	22.06	2338.3313	-4572.2095
