			GMRT Grid Version 4.2.1
Longitude	Latitude	Distance (km)	Elevation (m)
30.49	-53.70	1105.0176	-5415.0996
30.44	-53.76	1112.2875	-5456.183
30.39	-53.82	1119.5574	-5537.7104
30.34	-53.88	1126.8273	-5540.054
30.28	-53.93	1134.0972	-5553.9287
30.23	-53.99	1141.3671	-5478.5273
30.18	-54.05	1148.637	-5381.629
30.12	-54.11	1155.9069	-5395.1245
30.07	-54.16	1163.1768	-5475.34
30.01	-54.22	1170.4467	-5544.2686
29.96	-54.28	1177.7166	-5531.9604
29.91	-54.33	1184.9865	-5473.832
29.85	-54.39	1192.2563	-5462.587
29.80	-54.45	1199.5262	-5409.763
29.74	-54.51	1206.7961	-5493.6396
29.69	-54.56	1214.066	-5396.361
29.63	-54.62	1221.3359	-5478.389
29.58	-54.68	1228.6058	-5557.058
29.52	-54.73	1235.8757	-5534.3975
29.47	-54.79	1243.1456	-5505.492
29.41	-54.85	1250.4155	-5489.8584
29.35	-54.90	1257.6854	-5482.289
29.30	-54.96	1264.9553	-5489.565
29.24	-55.02	1272.2252	-5505.3257
29.18	-55.08	1279.4951	-5558.6455
29.13	-55.13	1286.765	-5648.1655
29.07	-55.19	1294.0349	-5702.375
29.01	-55.25	1301.3048	-5678.935
28.96	-55.30	1308.5747	-5628.3325
28.90	-55.36	1315.8446	-5607.281
28.84	-55.42	1323.1145	-5524.637
28.79	-55.47	1330.3844	-5469.3057
28.73	-55.53	1337.6543	-5471.51
28.67	-55.59	1344.9242	-5457.6133
28.61	-55.64	1352.1941	-5538.1523
28.55	-55.70	1359.464	-5657.503
28.50	-55.76	1366.7339	-5550.8237
28.44	-55.81	1374.0038	-5469.099
28.38	-55.87	1381.2737	-5472.2656
28.32	-55.93	1388.5436	-5516.0605
28.26	-55.98	1395.8135	-5565.8823
28.20	-56.04	1403.0834	-5552.48
28.14	-56.09	1410.3533	-5455.611
28.08	-56.15	1417.6232	-5378.751
28.02	-56.21	1424.8931	-5357.0757
27.96	-56.26	1432.163	-5374.592
27.90	-56.32	1439.4329	-5387.315
27.84	-56.38	1446.7028	-5395.941
27.78	-56.43	1453.9727	-5378.2627
27.72	-56.49	1461.2426	-5401.043
27.66	-56.54	1468.5125	-5468.287
27.60	-56.60	1475.7823	-5487.504
27.54	-56.66	1483.0522	-5443.308
27.48	-56.71	1490.3221	-5435.496
27.42	-56.77	1497.592	-5445.6084
27.35	-56.82	1504.8619	-5445.01
27.29	-56.88	1512.1318	-5467.106
27.23	-56.94	1519.4017	-5467.692
27.17	-56.99	1526.6716	-5458.2637
27.11	-57.05	1533.9415	-5454.033
