			GMRT Grid Version 4.0
Longitude	Latitude	Distance (km)	Elevation (m)
174.92	-7.03	9273.898	-5461.797
174.36	-7.13	9336.56	-5363.9175
173.80	-7.22	9399.221	-5216.7573
173.24	-7.32	9461.882	-5397.3926
172.68	-7.41	9524.543	-5371.359
172.12	-7.51	9587.204	-5324.09
171.56	-7.60	9649.865	-5251.8643
171.00	-7.69	9712.526	-5201.732
170.43	-7.79	9775.1875	-5138.5166
169.87	-7.88	9837.849	-4786.3604
169.31	-7.97	9900.51	-4221.407
168.75	-8.06	9963.171	-4002.0398
168.19	-8.15	10025.832	-3721.144
167.63	-8.23	10088.493	-3708.83
167.06	-8.32	10151.154	-4106.171
166.50	-8.41	10213.815	-4628.6167
