			GMRT Grid Version 4.0
Longitude	Latitude	Distance (km)	Elevation (m)
-155.406	25.036	-52.906616	-4885.648
-155.421	25.012	-49.86148	-4870.0146
-155.435	24.988	-46.816345	-4822.0503
-155.449	24.964	-43.77121	-4753.723
-155.464	24.939	-40.726074	-4749.1763
-155.478	24.915	-37.68094	-4717.419
-155.492	24.891	-34.635803	-4813.415
-155.507	24.867	-31.590668	-4793.677
-155.521	24.843	-28.545532	-4694.5723
-155.535	24.819	-25.500397	-4628.6465
-155.550	24.795	-22.455261	-4699.0786
-155.564	24.771	-19.410126	-4705.767
-155.578	24.747	-16.36499	-4703.807
-155.593	24.723	-13.319855	-4644.5444
-155.607	24.698	-10.274719	-4543.4756
-155.621	24.674	-7.2295837	-4526.388
-155.636	24.650	-4.1844482	-4547.1177
-155.650	24.626	-1.1393127	-4524.883
-155.664	24.602	1.9058228	-4640.22
-155.679	24.578	4.9509583	-4655.0283
-155.693	24.554	7.9960938	-4592.8115
-155.707	24.530	11.041229	-4579.61
-155.721	24.506	14.086365	-4570.9326
-155.736	24.481	17.1315	-4562.8457
-155.750	24.457	20.176605	-4574.389
-155.764	24.433	23.22171	-4605.501
-155.778	24.409	26.266815	-4597.233
-155.793	24.385	29.31192	-4531.2437
-155.807	24.361	32.357025	-4575.9575
-155.821	24.337	35.40213	-4509.487
-155.835	24.313	38.447235	-4507.127
-155.850	24.289	41.49234	-4453.575
-155.864	24.264	44.537445	-4486.1514
-155.878	24.240	47.58255	-4461.264
-155.892	24.216	50.627655	-4500.7944
-155.906	24.192	53.67276	-4478.659
-155.921	24.168	56.717865	-4497.0273
-155.935	24.144	59.76297	-4477.0664
-155.949	24.120	62.808075	-4472.7676
-155.963	24.095	65.85318	-4326.9507
-155.977	24.071	68.898285	-3913.861
-155.991	24.047	71.94339	-3978.7424
-156.006	24.023	74.988495	-4347.0107
-156.020	23.999	78.0336	-4334.0303
-156.034	23.975	81.078705	-4352.894
-156.048	23.951	84.12381	-4311.0674
-156.062	23.927	87.168915	-4294.2793
-156.076	23.902	90.21402	-4269.5054
-156.091	23.878	93.259125	-4289.0474
-156.105	23.854	96.30423	-4190.043
